Date,delta_netpos
2022-01-14,-1.0
2022-01-17,2.0
2022-01-18,0.0
2022-01-19,-1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-24,0.0
2022-01-25,-0.0
2022-01-26,-0.0
2022-01-27,0.0
2022-01-28,-3.0
2022-02-07,-1.0
2022-02-08,-0.0
2022-02-09,2.0
2022-02-10,3.0
2022-02-11,-0.0
2022-02-14,-1.0
2022-02-15,3.0
2022-02-16,1.0
2022-02-17,8.0
2022-02-18,1.0
2022-02-21,3.0
2022-02-22,-2.0
2022-02-23,-8.0
2022-02-24,1.0
2022-02-25,12.0
2022-02-28,-5.0
2022-03-01,6.0
2022-03-02,6.0
2022-03-03,-9.0
2022-03-07,-10.0
2022-03-08,1.0
2022-03-09,-12.0
2022-03-10,1.0
2022-03-11,-12.0
2022-03-14,16.0
2022-03-15,-8.0
2022-03-16,-1.0
2022-03-17,-1.0
2022-03-18,6.0
2022-03-21,-2.0
2022-03-22,4.0
2022-03-23,-2.0
2022-03-24,14.0
2022-03-25,-12.0
2022-03-28,-9.0
2022-03-29,-1.0
2022-03-30,-15.0
2022-03-31,9.0
2022-04-01,-4.0
2022-04-06,6.0
2022-04-07,4.0
2022-04-08,-5.0
2022-04-11,22.0
2022-04-12,-20.0
2022-04-13,11.0
2022-04-14,-4.0
2022-04-15,-16.0
2022-04-18,-0.0
2022-04-19,7.0
2022-04-20,-23.0
2022-04-21,9.0
2022-04-22,2.0
2022-04-25,27.0
2022-04-26,-7.0
2022-04-27,-16.0
2022-04-28,19.0
2022-04-29,-13.0
2022-05-05,-38.0
2022-05-06,18.0
2022-05-09,15.0
2022-05-10,8.0
2022-05-11,-28.0
2022-05-12,40.0
2022-05-13,10.0
2022-05-16,-7.0
2022-05-17,-2.0
2022-05-18,8.0
