Date,NetLongDelta
2022-01-04,
2022-01-05,0.0
2022-01-06,12.0
2022-01-07,-11.0
2022-01-10,2.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,-1.0
2022-01-14,1.0
2022-01-17,3.0
2022-01-18,-1.0
2022-01-19,-1.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-24,2.0
2022-01-25,0.0
2022-01-26,-2.0
2022-01-27,0.0
2022-01-28,-1.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,-1.0
2022-02-10,2.0
2022-02-11,-0.0
2022-02-14,-4.0
2022-02-15,5.0
2022-02-16,0.0
2022-02-17,2.0
2022-02-18,1.0
2022-02-21,2.0
2022-02-22,-0.0
2022-02-23,-3.0
2022-02-24,-1.0
2022-02-25,8.0
2022-02-28,-1.0
2022-03-01,3.0
2022-03-02,10.0
2022-03-03,0.0
2022-03-04,7.0
2022-03-07,-22.0
2022-03-08,-1.0
2022-03-09,-8.0
2022-03-10,3.0
2022-03-11,-9.0
2022-03-14,4.0
2022-03-15,-6.0
2022-03-16,0.0
2022-03-17,1.0
2022-03-18,3.0
2022-03-21,-1.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,8.0
2022-03-25,3.0
2022-03-28,-12.0
2022-03-29,-5.0
2022-03-30,4.0
2022-03-31,5.0
2022-04-01,-1.0
2022-04-06,4.0
2022-04-07,2.0
2022-04-08,-2.0
2022-04-11,11.0
2022-04-12,-3.0
2022-04-13,1.0
2022-04-14,-2.0
2022-04-15,-8.0
2022-04-18,10.0
2022-04-19,0.0
2022-04-20,-7.0
2022-04-21,-2.0
2022-04-22,-19.0
2022-04-25,26.0
2022-04-26,-6.0
2022-04-27,-16.0
2022-04-28,16.0
2022-04-29,-10.0
